Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00   1278.98     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::string>::~new_allocator()
  0.00   1278.98     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string* const&)
  0.00   1278.98     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator++()
  0.00   1278.98     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator*() const
  0.00   1278.98     0.00        2     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator()
  0.00   1278.98     0.00        2     0.00     0.00  _ZSt10_ConstructISsIEEvPT_DpOT0_
  0.00   1278.98     0.00        2     0.00     0.00  void std::_Destroy<std::string>(std::string*)
  0.00   1278.98     0.00        2     0.00     0.00  operator new(unsigned int, void*)
  0.00   1278.98     0.00        1     0.00   913.29  loadImageData(TrainingEnvironment&)
  0.00   1278.98     0.00        1     0.00     0.00  sequentialOCR(std::vector<float, std::allocator<float> >*, std::vector<float, std::allocator<float> >*, std::vector<float, std::allocator<float> >*, std::vector<int, std::allocator<int> >*, unsigned int&, unsigned int&)
  0.00   1278.98     0.00        1     0.00     0.00  parseCommandlineParameters(int, char**, TrainingEnvironment&)
  0.00   1278.98     0.00        1     0.00    10.00  OneLayerPerceptron::randomizeWeights()
  0.00   1278.98     0.00        1     0.00    10.00  OneLayerPerceptron::OneLayerPerceptron(float, int, int, int)
  0.00   1278.98     0.00        1     0.00     0.00  TrainingEnvironment::executeOCR()
  0.00   1278.98     0.00        1     0.00     0.00  TrainingEnvironment::getTestingData()
  0.00   1278.98     0.00        1     0.00     0.00  TrainingEnvironment::setTestingData(std::vector<float, std::allocator<float> >*)
  0.00   1278.98     0.00        1     0.00     0.00  TrainingEnvironment::getTrainingData()
  0.00   1278.98     0.00        1     0.00     0.00  TrainingEnvironment::setTrainingData(std::vector<float, std::allocator<float> >*)
  0.00   1278.98     0.00        1     0.00     0.00  TrainingEnvironment::setInputSampleWidth(unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  TrainingEnvironment::setOutputSampleWidth(unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  TrainingEnvironment::getTestingClassifications()
  0.00   1278.98     0.00        1     0.00     0.00  TrainingEnvironment::setTestingClassifications(std::vector<int, std::allocator<int> >*)
  0.00   1278.98     0.00        1     0.00     0.00  TrainingEnvironment::setTrainingClassifications(std::vector<float, std::allocator<float> >*)
  0.00   1278.98     0.00        1     0.00     0.00  TrainingEnvironment::isValid()
  0.00   1278.98     0.00        1     0.00     0.00  TrainingEnvironment::setType(TrainingType)
  0.00   1278.98     0.00        1     0.00     0.00  TrainingEnvironment::TrainingEnvironment()
  0.00   1278.98     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::string>::deallocate(std::string*, unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::string>::allocate(unsigned int, void const*)
  0.00   1278.98     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::string>::new_allocator(__gnu_cxx::new_allocator<std::string> const&)
  0.00   1278.98     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::string>::new_allocator()
  0.00   1278.98     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned int, void const*)
  0.00   1278.98     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00   1278.98     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00   1278.98     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00   1278.98     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00   1278.98     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::string>::max_size() const
  0.00   1278.98     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00   1278.98     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00   1278.98     0.00        1     0.00     0.00  std::allocator<std::string>::allocator()
  0.00   1278.98     0.00        1     0.00     0.00  std::allocator<std::string>::allocator(std::allocator<std::string> const&)
  0.00   1278.98     0.00        1     0.00     0.00  std::allocator<std::string>::~allocator()
  0.00   1278.98     0.00        1     0.00     0.00  std::allocator<std::string>::~allocator()
  0.00   1278.98     0.00        1     0.00     0.00  std::allocator<int>::allocator()
  0.00   1278.98     0.00        1     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00   1278.98     0.00        1     0.00     0.00  std::allocator<int>::~allocator()
  0.00   1278.98     0.00        1     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00   1278.98     0.00        1     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::string*>(std::string*, std::string*)
  0.00   1278.98     0.00        1     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_allocate(unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_impl::_Vector_impl(std::allocator<std::string> const&)
  0.00   1278.98     0.00        1     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_impl::~_Vector_impl()
  0.00   1278.98     0.00        1     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_deallocate(std::string*, unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_create_storage(unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_base(unsigned int, std::allocator<std::string> const&)
  0.00   1278.98     0.00        1     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::~_Vector_base()
  0.00   1278.98     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00   1278.98     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00   1278.98     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned int, std::allocator<int> const&)
  0.00   1278.98     0.00        1     0.00     0.00  std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u>::seed(unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  std::mersenne_twister_engine<unsigned int, 32u, 624u, 397u, 31u, 2567483615u, 11u, 4294967295u, 7u, 2636928640u, 15u, 4022730752u, 18u, 1812433253u>::mersenne_twister_engine(unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  std::uniform_real_distribution<double>::param_type::param_type(double, double)
  0.00   1278.98     0.00        1     0.00     0.00  std::uniform_real_distribution<double>::uniform_real_distribution(double, double)
  0.00   1278.98     0.00        1     0.00     0.00  void std::__uninitialized_default_n_1<false>::__uninit_default_n<std::string*, unsigned int>(std::string*, unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  void std::__uninitialized_default_n_1<true>::__uninit_default_n<int*, unsigned int>(int*, unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::_M_default_initialize(unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end()
  0.00   1278.98     0.00        1     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::begin()
  0.00   1278.98     0.00        1     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::vector(unsigned int, std::allocator<std::string> const&)
  0.00   1278.98     0.00        1     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::~vector()
  0.00   1278.98     0.00        1     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::operator[](unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_initialize(unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::data()
  0.00   1278.98     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00   1278.98     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::front()
  0.00   1278.98     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::vector(unsigned int, std::allocator<int> const&)
  0.00   1278.98     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned int, int>(int*, unsigned int, int const&)
  0.00   1278.98     0.00        1     0.00     0.00  int* std::__addressof<int>(int&)
  0.00   1278.98     0.00        1     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00   1278.98     0.00        1     0.00     0.00  void std::__uninitialized_default_n<std::string*, unsigned int>(std::string*, unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  void std::__uninitialized_default_n<int*, unsigned int>(int*, unsigned int)
  0.00   1278.98     0.00        1     0.00     0.00  void std::__uninitialized_default_n_a<std::string*, unsigned int, std::string>(std::string*, unsigned int, std::allocator<std::string>&)
  0.00   1278.98     0.00        1     0.00     0.00  void std::__uninitialized_default_n_a<int*, unsigned int, int>(int*, unsigned int, std::allocator<int>&)
  0.00   1278.98     0.00        1     0.00     0.00  int* std::fill_n<int*, unsigned int, int>(int*, unsigned int, int const&)
  0.00   1278.98     0.00        1     0.00     0.00  void std::_Destroy<std::string*>(std::string*, std::string*)
  0.00   1278.98     0.00        1     0.00     0.00  void std::_Destroy<std::string*, std::string>(std::string*, std::string*, std::allocator<std::string>&)
  0.00   1278.98     0.00        1     0.00    90.00  int* std::transform<unsigned char*, int*, int (*)(unsigned char)>(unsigned char*, unsigned char*, int*, int (*)(unsigned char))

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.00% of 1278.98 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.9    0.04 1277.33                 _fu27___ZSt4cout [1]
             1193.56    1.53  395598/395598      OneLayerPerceptron::train(float const*, float const*) [2]
               81.95    0.23   60000/60000       OneLayerPerceptron::classify(float const*, float*) [3]
                0.02    0.03  851196/911198      std::vector<float, std::allocator<float> >::data() [19]
                0.00    0.01       1/1           OneLayerPerceptron::OneLayerPerceptron(float, int, int, int) [34]
                0.00    0.00       6/6           calcCorrect(float const*, std::vector<int, std::allocator<int> > const*, unsigned int) [62]
                0.00    0.00       3/3           std::vector<float, std::allocator<float> >::size() const [79]
-----------------------------------------------
             1193.56    1.53  395598/395598      _fu27___ZSt4cout [1]
[2]     93.4 1193.56    1.53  395598         OneLayerPerceptron::train(float const*, float const*) [2]
                1.53    0.00 122635380/141235380     OneLayerPerceptron::sigmoid(float) [4]
-----------------------------------------------
               81.95    0.23   60000/60000       _fu27___ZSt4cout [1]
[3]      6.4   81.95    0.23   60000         OneLayerPerceptron::classify(float const*, float*) [3]
                0.23    0.00 18600000/141235380     OneLayerPerceptron::sigmoid(float) [4]
-----------------------------------------------
                0.23    0.00 18600000/141235380     OneLayerPerceptron::classify(float const*, float*) [3]
                1.53    0.00 122635380/141235380     OneLayerPerceptron::train(float const*, float const*) [2]
[4]      0.1    1.76    0.00 141235380         OneLayerPerceptron::sigmoid(float) [4]
-----------------------------------------------
                0.00    0.91       1/1           _fu22___ZSt4cout [6]
[5]      0.1    0.00    0.91       1         loadImageData(TrainingEnvironment&) [5]
                0.15    0.49       2/2           float* std::transform<unsigned char*, float*, float (*)(unsigned char)>(unsigned char*, unsigned char*, float*, float (*)(unsigned char)) [7]
                0.00    0.18       3/3           std::vector<float, std::allocator<float> >::vector(unsigned int, std::allocator<float> const&) [12]
                0.00    0.09       1/1           int* std::transform<unsigned char*, int*, int (*)(unsigned char)>(unsigned char*, unsigned char*, int*, int (*)(unsigned char)) [18]
                0.00    0.00   60002/911198      std::vector<float, std::allocator<float> >::data() [19]
                0.00    0.00   60008/60008       IDXFile::getTotalSize() const [45]
                0.00    0.00   60006/60006       IDXFile::getDataPointer() const [46]
                0.00    0.00   60000/60000       TrainingEnvironment::getTrainingClassifications() [48]
                0.00    0.00       4/4           IDXFile::IDXFile(std::string const&) [66]
                0.00    0.00       4/4           IDXFile::hasError() const [70]
                0.00    0.00       4/4           IDXFile::getDimensionNumber() const [69]
                0.00    0.00       4/4           IDXFile::getDimensions() const [68]
                0.00    0.00       4/8           IDXFile::deleteData() [60]
                0.00    0.00       3/3           std::allocator<float>::allocator() [80]
                0.00    0.00       3/3           std::allocator<float>::~allocator() [82]
                0.00    0.00       1/1           TrainingEnvironment::setInputSampleWidth(unsigned int) [105]
                0.00    0.00       1/1           TrainingEnvironment::setOutputSampleWidth(unsigned int) [106]
                0.00    0.00       1/1           TrainingEnvironment::setTrainingData(std::vector<float, std::allocator<float> >*) [104]
                0.00    0.00       1/1           TrainingEnvironment::getTrainingData() [103]
                0.00    0.00       1/1           TrainingEnvironment::setTrainingClassifications(std::vector<float, std::allocator<float> >*) [109]
                0.00    0.00       1/1           TrainingEnvironment::setTestingData(std::vector<float, std::allocator<float> >*) [102]
                0.00    0.00       1/1           TrainingEnvironment::getTestingData() [101]
                0.00    0.00       1/1           std::allocator<int>::allocator() [129]
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >::vector(unsigned int, std::allocator<int> const&) [162]
                0.00    0.00       1/1           TrainingEnvironment::setTestingClassifications(std::vector<int, std::allocator<int> >*) [108]
                0.00    0.00       1/1           std::allocator<int>::~allocator() [131]
                0.00    0.00       1/1           TrainingEnvironment::getTestingClassifications() [107]
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >::data() [159]
-----------------------------------------------
                                                 <spontaneous>
[6]      0.1    0.00    0.91                 _fu22___ZSt4cout [6]
                0.00    0.91       1/1           loadImageData(TrainingEnvironment&) [5]
                0.00    0.00       1/1           TrainingEnvironment::executeOCR() [100]
-----------------------------------------------
                0.15    0.49       2/2           loadImageData(TrainingEnvironment&) [5]
[7]      0.1    0.15    0.49       2         float* std::transform<unsigned char*, float*, float (*)(unsigned char)>(unsigned char*, unsigned char*, float*, float (*)(unsigned char)) [7]
                0.49    0.00 54880000/54880000     normalizeU8(unsigned char) [9]
-----------------------------------------------
                                                 <spontaneous>
[8]      0.0    0.60    0.00                 expf [8]
-----------------------------------------------
                0.49    0.00 54880000/54880000     float* std::transform<unsigned char*, float*, float (*)(unsigned char)>(unsigned char*, unsigned char*, float*, float (*)(unsigned char)) [7]
[9]      0.0    0.49    0.00 54880000         normalizeU8(unsigned char) [9]
-----------------------------------------------
                0.00    0.18       3/3           void std::__uninitialized_default_n<float*, unsigned int>(float*, unsigned int) [14]
[10]     0.0    0.00    0.18       3         void std::__uninitialized_default_n_1<true>::__uninit_default_n<float*, unsigned int>(float*, unsigned int) [10]
                0.00    0.18       3/3           float* std::fill_n<float*, unsigned int, float>(float*, unsigned int, float const&) [16]
-----------------------------------------------
                0.00    0.18       3/3           std::vector<float, std::allocator<float> >::vector(unsigned int, std::allocator<float> const&) [12]
[11]     0.0    0.00    0.18       3         std::vector<float, std::allocator<float> >::_M_default_initialize(unsigned int) [11]
                0.00    0.18       3/3           void std::__uninitialized_default_n_a<float*, unsigned int, float>(float*, unsigned int, std::allocator<float>&) [15]
                0.00    0.00       3/3           std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() [87]
-----------------------------------------------
                0.00    0.18       3/3           loadImageData(TrainingEnvironment&) [5]
